code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat	mapped_fields	mapping_confidence
10				21															stamina	add=;bits=;bitsParamSave=;bitsSave=f23;f23_f24_u32;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
11	150	10		21					Maximum Stamina	Maximum Stamina		1	73	1					maxstamina	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
12				8															level	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
13				32															experience	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
14				25															gold	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
15				25															goldbank	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
16	823	10							Enhanced Defense	Enhanced Defense		4	95	1					item_armor_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
17	823	10							Enhanced Maximum Damage	Enhanced Maximum Damage		3	179	0					item_maxdamage_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
18	823	10							Enhanced Minimum Damage	Enhanced Minimum Damage		3	180	0					item_mindamage_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
19		10							to Attack Rating	to Attack Rating		1	164	1					tohit	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
20	10	5							Base Block Chance	Base Block Chance		2	196	1					toblock	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
21	0	11							to Minimum Damage	to Minimum Damage		1	172	1					mindamage	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
22	0	11							to Maximum Damage	to Maximum Damage		1	171	1					maxdamage	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
23	0	11							to Minimum Damage	to Minimum Damage		1	124	1					secondary_mindamage	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=f35;f35_f36_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
24	0	11							to Maximum Damage	to Maximum Damage		1	123	1					secondary_maxdamage	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
25	500	11							Weapon Physical Damage	Weapon Physical Damage		4	123	2					damagepercent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
26	0	10																	manarecovery	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
27	100	9							Regenerate Mana	Regenerate Mana		4	74	2					manarecoverybonus	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
28	0	10							Heal Stamina Plus	Heal Stamina Plus		2	72	2					staminarecoverybonus	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
31	500	16							Defense	Defense		1	93	1					armorclass	add=;bits=;bitsParamSave=;bitsSave=;descpriority=f18;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.100
32	0	13							Defense vs. Missile	Defense vs. Missile		1	92	1					armorclass_vs_missile	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
33	0	13							Defense vs. Melee	Defense vs. Melee		1	92	1					armorclass_vs_hth	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
34	100	9							Physical Damage Taken Reduced by	Physical Damage Taken Reduced by		3	52	2					normal_damage_reduction	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
35	100	9							Elemental/Magic Damage Taken Reduced by	Elemental/Magic Damage Taken Reduced by		3	51	2					magic_damage_reduction	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
36	100	8							Physical Resist	Physical Resist		2	53	2					damageresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
37	100	8							Magic Resist	Magic Resist		4	65	2					magicresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
38	20	7							Maximum Magic Resist	Maximum Magic Resist		4	70	1					maxmagicresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
39	100	8			41,43,45	Elemental Resists	Elemental Resists		Fire Resist	Fire Resist		4	64	2	2	4	2		fireresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
40	20	7			42,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Fire Resist	Maximum Fire Resist		4	69	2	7	4	2		maxfireresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
41	100	8			39,43,45	Elemental Resists	Elemental Resists		Lightning Resist	Lightning Resist		4	63	2	2	4	2		lightresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f16;dgrp=f16;dgrpfunc=;dgrpval=f16;saveParamBits=	0.300
42	20	7			40,44,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Lightning Resist	Maximum Lightning Resist		4	68	2	7	4	2		maxlightresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
43	100	8			39,41,45	Elemental Resists	Elemental Resists		Cold Resist	Cold Resist		4	62	2	2	4	2		coldresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
44	20	7			40,42,46	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Cold Resist	Maximum Cold Resist		4	67	2	7	4	2		maxcoldresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
45	100	8			39,41,43	Elemental Resists	Elemental Resists		Poison Resist	Poison Resist		4	61	2	2	4	2		poisonresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
46	20	7			40,42,44	Maximum Elemental Resists	Maximum Elemental Resists		Maximum Poison Resist	Maximum Poison Resist		4	66	2	7	4	2		maxpoisonresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
48	0	12							to Minimum Fire Damage	to Minimum Fire Damage		1	156	1					firemindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
49	0	12							to Maximum Fire Damage	to Maximum Fire Damage		1	155	1					firemaxdam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
50	0	12							to Minimum Lightning Damage	to Minimum Lightning Damage		1	154	1					lightmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
51	0	12							to Maximum Lightning Damage	to Maximum Lightning Damage		1	153	1					lightmaxdam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
52	0	12							to Minimum Magic Damage	to Minimum Magic Damage		1	158	1					magicmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
53	0	12							to Maximum Magic Damage	to Maximum Magic Damage		1	157	1					magicmaxdam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
54	0	12							to Minimum Cold Damage	to Minimum Cold Damage		1	152	1					coldmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
55	0	12							to Maximum Cold Damage	to Maximum Cold Damage		1	151	1					coldmaxdam	add=f1;f2;f3;f4;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
56	0	9																	coldlength	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
57	0	14							to Minimum Poison Damage	to Minimum Poison Damage		1	150	1					poisonmindam	add=f1;f2;f3;f4;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f37;f38;f39;f1_f2_u32;f2_f3_u32;f3_f4_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f37_f38_u32;f38_f39_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f40;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.100
58	0	14							to Maximum Poison Damage	to Maximum Poison Damage		1	147	1					poisonmaxdam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
59	0	9																	poisonlength	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
60	0	7							Life stolen per Hit	Life stolen per Hit		2	144	1					lifedrainmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
