#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	strBonus	dexBonus	type	sockettype	class
27!	Bull Shield (4)		4	1	0		0	149	1													basd,tier	0	
28!	Bull Shield (Sacred)		4	1	0		0	374	1													saba	0	
29!	Bronze Shield (1)		2	1	0		0	0	1													basd,tier	0	
2@I	Kazarghand (4)		3	1	0		0	353	0													stor,tier		
2@J	Ceremonial Armor (1)		3	1	0		0	97	0													stor,tier		
2@K	Morion (2)		2	1	0		0	0	0													azhm,tier		
2@L	Cervelliere (3)		2	1	0		0	0	0													azhm,tier		
2@M	Einherjar Helm (Sacred)		2	1	0		0	534	0													szhm		
2@P	Totem Shield (4)		3	1	0		0	282	1													ishd,tier	0	
31!	Bronze Shield (2)		2	1	0		0	0	1													basd,tier	0	
33!	Bronze Shield (3)		2	1	0		0	0	1													basd,tier	0	
34!	Bronze Shield (4)		2	1	0		0	0	1													basd,tier	0	
35!	Bronze Shield (Sacred)		2	1	0		0	0	1													saba	0	
36!	Gilded Shield (1)		3	1	0		0	0	1													basd,tier	0	
38!	Gilded Shield (2)		3	1	0		0	0	1													basd,tier	0	
3@G	Gambeson (2)		3	1	0		0	37	0													stor,tier		
3@H	Lamellar Armor (3)		3	1	0		0	96	0													stor,tier		
3@I	Kazarghand (Sacred)		3	1	0		0	550	0													sstr		
3@L	Cervelliere (4)		2	1	0		0	0	0													azhm,tier		
3@M	Spangenhelm (1)		2	1	0		0	0	0													azhm,tier		
3@N	Parma (2)		2	1	0		0	67	1													ishd,tier	0	
3@O	Aspis (3)		3	1	0		0	183	1													ishd,tier	0	
3@P	Totem Shield (Sacred)		3	1	0		0	527	1													sisd	0	
40!	Gilded Shield (3)		3	1	0		0	0	1													basd,tier	0	
41!	Gilded Shield (4)		3	1	0		0	0	1													basd,tier	0	
42!	Gilded Shield (Sacred)		3	1	0		0	0	1													saba	0	
43!	Hundsgugel (1)		2	1	0		0	0	0													pzhm,tier		
45!	Hundsgugel (2)		2	1	0		0	0	0													pzhm,tier		
47!	Hundsgugel (3)		2	1	0		0	0	0													pzhm,tier		
48!	Hundsgugel (4)		2	1	0		0	0	0													pzhm,tier		
49!	Hundsgugel (Sacred)		2	1	0		0	0	0													sphz		
4@H	Lamellar Armor (4)		3	1	0		0	199	0													stor,tier		
4@I	Banded Plate (1)		3	1	0		0	91	0													stor,tier		
4@J	Ceremonial Armor (2)		3	1	0		0	143	0													stor,tier		
4@K	Morion (3)		2	1	0		0	0	0													azhm,tier		
4@L	Cervelliere (Sacred)		2	1	0		0	0	0													szhm		
4@O	Aspis (4)		3	1	0		0	378	1													ishd,tier	0	
4@P	Bladed Shield (1)		3	1	0		0	55	1													ishd,tier	0	
50!	Blackguard Helm (1)		2	1	0		0	29	0													pzhm,tier		
52!	Blackguard Helm (2)		2	1	0		0	43	0													pzhm,tier		
54!	Blackguard Helm (3)		2	1	0		0	90	0													pzhm,tier		
55!	Blackguard Helm (4)		2	1	0		0	187	0													pzhm,tier		
56!	Blackguard Helm (Sacred)		2	1	0		0	387	0													sphz		
5@G	Gambeson (3)		3	1	0		0	78	0													stor,tier		
5@H	Lamellar Armor (Sacred)		3	1	0		0	499	0													sstr		
5@K	Morion (4)		2	1	0		0	0	0													azhm,tier		
5@L	Einherjar Helm (1)		2	1	0		0	53	0													azhm,tier		
5@M	Spangenhelm (2)		2	1	0		0	0	0													azhm,tier		
5@N	Parma (3)		2	1	0		0	139	1													ishd,tier	0	
5@O	Aspis (Sacred)		3	1	0		0	559	1													sisd	0	
600	Quilted Armor (1)		3	1	0		0	0	0													tors,tier		
601	Leather Armor (1)		3	1	0		0	0	0													tors,tier		
602	Hard Leather Armor (1)		3	1	0		0	0	0													tors,tier		
603	Studded Leather (1)		3	1	0		0	0	0													tors,tier		
604	Ring Mail (1)		3	1	0		0	0	0													tors,tier		
605	Scale Mail (1)		3	1	0		0	0	0													tors,tier		
606	Chain Mail (1)		3	1	0		0	0	0													tors,tier		
607	Breast Plate (1)		3	1	0		0	0	0													tors,tier		
608	Splint Mail (1)		3	1	0		0	0	0													tors,tier		
609	Plate Mail (1)		3	1	0		0	0	0													tors,tier		
610	Field Plate (1)		3	1	0		0	0	0													tors,tier		
611	Light Plate (1)		3	1	0		0	0	0													tors,tier		
612	Gothic Plate (1)		3	1	0		0	0	0													tors,tier		
613	Full Plate Mail (1)		3	1	0		0	0	0													tors,tier		
614	Ancient Armor (1)		3	1	0		0	0	0													tors,tier		
615	Cap (1)		2	1	0		0	0	0													helm,tier		
616	Skull Cap (1)		2	1	0		0	0	0													helm,tier		
617	Helm (1)		2	1	0		0	0	0													helm,tier		
618	Full Helm (1)		2	1	0		0	0	0													helm,tier		
619	Great Helm (1)		2	1	0		0	0	0													helm,tier		
620	Crown (1)		2	1	0		0	0	0													crow,tier		
621	Buckler (1)		2	1	0		0	17	0													shie,tier	0	
622	Small Shield (1)		2	1	0		0	31	0													shie,tier	0	
623	Large Shield (1)		3	1	0		0	45	0													shie,tier	0	
624	Kite Shield (1)		3	1	0		0	59	0													shie,tier	0	
625	Tower Shield (1)		3	1	0		0	73	0													shie,tier	0	
626	Gothic Shield (1)		4	1	0		0	87	0													shie,tier	0	
627	Sash (1)		1	1	0		0	0	0													belt,tier		
628	Light Belt (1)		1	1	0		0	0	0													belt,tier		
629	Belt (1)		1	1	0		0	0	0													belt,tier		
630	Heavy Belt (1)		1	1	0		0	0	0													belt,tier		
631	Plated Belt (1)		1	1	0		0	0	0													belt,tier		
632	Leather Gloves (1)		2	1	0		0	0	0													glov,tier		
633	Heavy Gloves (1)		2	1	0		0	0	0													glov,tier		
634	Chain Gloves (1)		2	1	0		0	0	0													glov,tier		
635	Light Gauntlets (1)		2	1	0		0	0	0													glov,tier		
636	Gauntlets (1)		2	1	0		0	0	0													glov,tier		
637	Boots (1)		2	1	0		0	0	0													boot,tier		
638	Heavy Boots (1)		2	1	0		0	0	0													boot,tier		
639	Chain Boots (1)		2	1	0		0	0	0													boot,tier		
640	Light Plated Boots (1)		2	1	0		0	0	0													boot,tier		
641	Greaves (1)		2	1	0		0	0	0													boot,tier		
642	Bone Shield (1)		3	1	0		0	44	0													bshi,tier	0	
643	Spiked Shield (1)		3	1	0		0	55	0													bshi,tier	0	
644	Mask (1)		2	1	0		0	0	0													bhlm,tier		
645	Bone Helm (1)		2	1	0		0	0	0													bhlm,tier		
692	Quilted Armor (2)		3	1	0		0	0	0													tors,tier		
693	Leather Armor (2)		3	1	0		0	0	0													tors,tier		
694	Hard Leather Armor (2)		3	1	0		0	0	0													tors,tier		
695	Studded Leather (2)		3	1	0		0	0	0													tors,tier		
696	Ring Mail (2)		3	1	0		0	0	0													tors,tier		
697	Scale Mail (2)		3	1	0		0	0	0													tors,tier		
698	Chain Mail (2)		3	1	0		0	0	0													tors,tier		
699	Breast Plate (2)		3	1	0		0	0	0													tors,tier		
6@G	Gambeson (4)		3	1	0		0	160	0													stor,tier		
6@H	Kazarghand (1)		3	1	0		0	55	0													stor,tier		
6@I	Banded Plate (2)		3	1	0		0	134	0													stor,tier		
6@J	Ceremonial Armor (3)		3	1	0		0	300	0													stor,tier		
6@K	Morion (Sacred)		2	1	0		0	0	0													szhm		
6@N	Parma (4)		2	1	0		0	288	1													ishd,tier	0	
6@O	Totem Shield (1)		3	1	0		0	44	1													ishd,tier	0	
6@P	Bladed Shield (2)		3	1	0		0	81	1													ishd,tier	0	
700	Splint Mail (2)		3	1	0		0	0	0													tors,tier		
701	Plate Mail (2)		3	1	0		0	0	0													tors,tier		
702	Field Plate (2)		3	1	0		0	0	0													tors,tier		
703	Light Plate (2)		3	1	0		0	0	0													tors,tier		
704	Gothic Plate (2)		3	1	0		0	0	0													tors,tier		
705	Full Plate Mail (2)		3	1	0		0	0	0													tors,tier		
706	Ancient Armor (2)		3	1	0		0	0	0													tors,tier		
707	Cap (2)		2	1	0		0	0	0													helm,tier		
708	Skull Cap (2)		2	1	0		0	0	0													helm,tier		
709	Helm (2)		2	1	0		0	0	0													helm,tier		
710	Full Helm (2)		2	1	0		0	0	0													helm,tier		
711	Great Helm (2)		2	1	0		0	0	0													helm,tier		
712	Crown (2)		2	1	0		0	0	0													crow,tier		
713	Buckler (2)		2	1	0		0	25	0													shie,tier	0	
714	Small Shield (2)		2	1	0		0	46	0													shie,tier	0	
715	Large Shield (2)		3	1	0		0	67	0													shie,tier	0	
716	Kite Shield (2)		3	1	0		0	87	0													shie,tier	0	
717	Tower Shield (2)		3	1	0		0	107	0													shie,tier	0	
718	Gothic Shield (2)		4	1	0		0	128	0													shie,tier	0	
719	Sash (2)		1	1	0		0	0	0													belt,tier		
720	Light Belt (2)		1	1	0		0	0	0													belt,tier		
721	Belt (2)		1	1	0		0	0	0													belt,tier		
722	Heavy Belt (2)		1	1	0		0	0	0													belt,tier		
723	Plated Belt (2)		1	1	0		0	0	0													belt,tier		
724	Leather Gloves (2)		2	1	0		0	0	0													glov,tier		
725	Heavy Gloves (2)		2	1	0		0	0	0													glov,tier		
726	Chain Gloves (2)		2	1	0		0	0	0													glov,tier		
727	Light Gauntlets (2)		2	1	0		0	0	0													glov,tier		
728	Gauntlets (2)		2	1	0		0	0	0													glov,tier		
729	Boots (2)		2	1	0		0	0	0													boot,tier		
730	Heavy Boots (2)		2	1	0		0	0	0													boot,tier		
731	Chain Boots (2)		2	1	0		0	0	0													boot,tier		
732	Light Plated Boots (2)		2	1	0		0	0	0													boot,tier		
733	Greaves (2)		2	1	0		0	0	0													boot,tier		
734	Bone Shield (2)		3	1	0		0	65	0													bshi,tier	0	
735	Spiked Shield (2)		3	1	0		0	81	0													bshi,tier	0	
736	Mask (2)		2	1	0		0	0	0													bhlm,tier		
737	Bone Helm (2)		2	1	0		0	0	0													bhlm,tier		
784	Quilted Armor (3)		3	1	0		0	0	0													tors,tier		
785	Leather Armor (3)		3	1	0		0	0	0													tors,tier		
786	Hard Leather Armor (3)		3	1	0		0	0	0													tors,tier		
787	Studded Leather (3)		3	1	0		0	0	0													tors,tier		
788	Ring Mail (3)		3	1	0		0	0	0													tors,tier		
789	Scale Mail (3)		3	1	0		0	0	0													tors,tier		
790	Chain Mail (3)		3	1	0		0	0	0													tors,tier		
791	Breast Plate (3)		3	1	0		0	0	0													tors,tier		
792	Splint Mail (3)		3	1	0		0	0	0													tors,tier		
793	Plate Mail (3)		3	1	0		0	0	0													tors,tier		
794	Field Plate (3)		3	1	0		0	0	0													tors,tier		
795	Light Plate (3)		3	1	0		0	0	0													tors,tier		
796	Gothic Plate (3)		3	1	0		0	0	0													tors,tier		
797	Full Plate Mail (3)		3	1	0		0	0	0													tors,tier		
798	Ancient Armor (3)		3	1	0		0	0	0													tors,tier		
799	Cap (3)		2	1	0		0	0	0													helm,tier		
7@G	Gambeson (Sacred)		3	1	0		0	486	0													sstr		
7@J	Ceremonial Armor (4)		3	1	0		0	622	0													stor,tier		
7@K	Cervelliere (1)		2	1	0		0	0	0													azhm,tier		
7@L	Einherjar Helm (2)		2	1	0		0	78	0													azhm,tier		
7@M	Spangenhelm (3)		2	1	0		0	0	0													azhm,tier		
7@N	Parma (Sacred)		2	1	0		0	529	1													sisd	0	
800	Skull Cap (3)		2	1	0		0	0	0													helm,tier		
801	Helm (3)		2	1	0		0	0	0													helm,tier		
802	Full Helm (3)		2	1	0		0	0	0													helm,tier		
803	Great Helm (3)		2	1	0		0	0	0													helm,tier		
804	Crown (3)		2	1	0		0	0	0													crow,tier		
805	Buckler (3)		2	1	0		0	53	0													shie,tier	0	
806	Small Shield (3)		2	1	0		0	96	0													shie,tier	0	
807	Large Shield (3)		3	1	0		0	139	0													shie,tier	0	
808	Kite Shield (3)		3	1	0		0	183	0													shie,tier	0	
809	Tower Shield (3)		3	1	0		0	226	0													shie,tier	0	
810	Gothic Shield (3)		4	1	0		0	270	0													shie,tier	0	
811	Sash (3)		1	1	0		0	0	0													belt,tier		
812	Light Belt (3)		1	1	0		0	0	0													belt,tier		
813	Belt (3)		1	1	0		0	0	0													belt,tier		
814	Heavy Belt (3)		1	1	0		0	0	0													belt,tier		
815	Plated Belt (3)		1	1	0		0	0	0													belt,tier		
816	Leather Gloves (3)		2	1	0		0	0	0													glov,tier		
817	Heavy Gloves (3)		2	1	0		0	0	0													glov,tier		
818	Chain Gloves (3)		2	1	0		0	0	0													glov,tier		
819	Light Gauntlets (3)		2	1	0		0	0	0													glov,tier		
820	Gauntlets (3)		2	1	0		0	0	0													glov,tier		
821	Boots (3)		2	1	0		0	0	0													boot,tier		
822	Heavy Boots (3)		2	1	0		0	0	0													boot,tier		
823	Chain Boots (3)		2	1	0		0	0	0													boot,tier		
824	Light Plated Boots (3)		2	1	0		0	0	0													boot,tier		
825	Greaves (3)		2	1	0		0	0	0													boot,tier		
826	Bone Shield (3)		3	1	0		0	137	0													bshi,tier	0	
827	Spiked Shield (3)		3	1	0		0	170	0													bshi,tier	0	
828	Mask (3)		2	1	0		0	0	0													bhlm,tier		
829	Bone Helm (3)		2	1	0		0	0	0													bhlm,tier		
830	Quilted Armor (4)		3	1	0		0	0	0													tors,tier		
831	Leather Armor (4)		3	1	0		0	0	0													tors,tier		
832	Hard Leather Armor (4)		3	1	0		0	0	0													tors,tier		
833	Studded Leather (4)		3	1	0		0	0	0													tors,tier		
834	Ring Mail (4)		3	1	0		0	0	0													tors,tier		
835	Scale Mail (4)		3	1	0		0	0	0													tors,tier		
836	Chain Mail (4)		3	1	0		0	0	0													tors,tier		
837	Breast Plate (4)		3	1	0		0	0	0													tors,tier		
838	Splint Mail (4)		3	1	0		0	0	0													tors,tier		
839	Plate Mail (4)		3	1	0		0	0	0													tors,tier		
840	Field Plate (4)		3	1	0		0	0	0													tors,tier		
841	Light Plate (4)		3	1	0		0	0	0													tors,tier		
842	Gothic Plate (4)		3	1	0		0	0	0													tors,tier		
843	Full Plate Mail (4)		3	1	0		0	0	0													tors,tier		
844	Ancient Armor (4)		3	1	0		0	0	0													tors,tier		
845	Cap (4)		2	1	0		0	0	0													helm,tier		
846	Skull Cap (4)		2	1	0		0	0	0													helm,tier		
847	Helm (4)		2	1	0		0	0	0													helm,tier		
848	Full Helm (4)		2	1	0		0	0	0													helm,tier		
849	Great Helm (4)		2	1	0		0	0	0													helm,tier		
850	Crown (4)		2	1	0		0	0	0													crow,tier		
851	Buckler (4)		2	1	0		0	109	0													shie,tier	0	
852	Small Shield (4)		2	1	0		0	199	0													shie,tier	0	
853	Large Shield (4)		3	1	0		0	288	0													shie,tier	0	
854	Kite Shield (4)		3	1	0		0	378	0													shie,tier	0	
855	Tower Shield (4)		3	1	0		0	468	0													shie,tier	0	
856	Gothic Shield (4)		4	1	0		0	558	0													shie,tier	0	
857	Sash (4)		1	1	0		0	0	0													belt,tier		
858	Light Belt (4)		1	1	0		0	0	0													belt,tier		
859	Belt (4)		1	1	0		0	0	0													belt,tier		
860	Heavy Belt (4)		1	1	0		0	0	0													belt,tier		
861	Plated Belt (4)		1	1	0		0	0	0													belt,tier		
862	Leather Gloves (4)		2	1	0		0	0	0													glov,tier		
863	Heavy Gloves (4)		2	1	0		0	0	0													glov,tier		
864	Chain Gloves (4)		2	1	0		0	0	0													glov,tier		
865	Light Gauntlets (4)		2	1	0		0	0	0													glov,tier		
866	Gauntlets (4)		2	1	0		0	0	0													glov,tier		
867	Boots (4)		2	1	0		0	0	0													boot,tier		
868	Heavy Boots (4)		2	1	0		0	0	0													boot,tier		
869	Chain Boots (4)		2	1	0		0	0	0													boot,tier		
870	Light Plated Boots (4)		2	1	0		0	0	0													boot,tier		
871	Greaves (4)		2	1	0		0	0	0													boot,tier		
872	Bone Shield (4)		3	1	0		0	282	0													bshi,tier	0	
873	Spiked Shield (4)		3	1	0		0	353	0													bshi,tier	0	
874	Mask (4)		2	1	0		0	0	0													bhlm,tier		
875	Bone Helm (4)		2	1	0		0	0	0													bhlm,tier		
8@G	Lamellar Armor (1)		3	1	0		0	31	0													stor,tier		
8@H	Kazarghand (2)		3	1	0		0	81	0													stor,tier		
8@I	Banded Plate (3)		3	1	0		0	281	0													stor,tier		
8@J	Ceremonial Armor (Sacred)		3	1	0		0	722	0													sstr		
8@M	Spangenhelm (4)		2	1	0		0	0	0													azhm,tier		
8@N	Aspis (1)		3	1	0		0	59	1													ishd,tier	0	
8@O	Totem Shield (2)		3	1	0		0	65	1													ishd,tier	0	
8@P	Bladed Shield (3)		3	1	0		0	170	1													ishd,tier	0	
9@I	Banded Plate (4)		3	1	0		0	583	0													stor,tier		
9@J	Morion (1)		2	1	0		0	0	0													azhm,tier		
9@K	Cervelliere (2)		2	1	0		0	0	0													azhm,tier		
9@L	Einherjar Helm (3)		2	1	0		0	164	0													azhm,tier		
9@M	Spangenhelm (Sacred)		2	1	0		0	0	0													szhm		
9@P	Bladed Shield (4)		3	1	0		0	353	1													ishd,tier	0	
@01	Quilted Armor (Sacred)		3	1	0		0	0	0													qtor		
@02	Leather Armor (Sacred)		3	1	0		0	0	0													qtor		
@03	Hard Leather Armor (Sacred)		3	1	0		0	0	0													qtor		
@04	Studded Leather (Sacred)		3	1	0		0	0	0													qtor		
@05	Ring Mail (Sacred)		3	1	0		0	0	0													qtor		
@06	Scale Mail (Sacred)		3	1	0		0	0	0													qtor		
@07	Chain Mail (Sacred)		3	1	0		0	0	0													qtor		
@08	Breast Plate (Sacred)		3	1	0		0	0	0													qtor		
@09	Splint Mail (Sacred)		3	1	0		0	0	0													qtor		
@10	Plate Mail (Sacred)		3	1	0		0	0	0													qtor		
@11	Field Plate (Sacred)		3	1	0		0	0	0													qtor		
@12	Light Plate (Sacred)		3	1	0		0	0	0													qtor		
@13	Gothic Plate (Sacred)		3	1	0		0	0	0													qtor		
@14	Full Plate Mail (Sacred)		3	1	0		0	0	0													qtor		
@15	Ancient Armor (Sacred)		3	1	0		0	0	0													qtor		
@16	Cap (Sacred)		2	1	0		0	0	0													qhlm		
@17	Skull Cap (Sacred)		2	1	0		0	0	0													qhlm		
@18	Helm (Sacred)		2	1	0		0	0	0													qhlm		
@19	Full Helm (Sacred)		2	1	0		0	0	0													qhlm		
@20	Great Helm (Sacred)		2	1	0		0	0	0													qhlm		
@21	Crown (Sacred)		2	1	0		0	0	0													qhlm		
@22	Buckler (Sacred)		2	1	0		0	469	0													qshi	0	
@23	Small Shield (Sacred)		2	1	0		0	499	0													qshi	0	
@24	Large Shield (Sacred)		3	1	0		0	529	0													qshi	0	
@25	Kite Shield (Sacred)		3	1	0		0	559	0													qshi	0	
@26	Tower Shield (Sacred)		3	1	0		0	589	0													qshi	0	
@27	Gothic Shield (Sacred)		4	1	0		0	619	0													qshi	0	
@28	Sash (Sacred)		1	1	0		0	0	0													belt,qblt		
@29	Light Belt (Sacred)		1	1	0		0	0	0													belt,qblt		
@30	Belt (Sacred)		1	1	0		0	0	0													belt,qblt		
@31	Heavy Belt (Sacred)		1	1	0		0	0	0													belt,qblt		
@32	Plated Belt (Sacred)		1	1	0		0	0	0													belt,qblt		
@33	Leather Gloves (Sacred)		2	1	0		0	0	0													qglv		
@34	Heavy Gloves (Sacred)		2	1	0		0	0	0													qglv		
@35	Chain Gloves (Sacred)		2	1	0		0	0	0													qglv		
@36	Light Gauntlets (Sacred)		2	1	0		0	0	0													qglv		
@37	Gauntlets (Sacred)		2	1	0		0	0	0													qglv		
@38	Boots (Sacred)		2	1	0		0	0	0													qbot		
@39	Heavy Boots (Sacred)		2	1	0		0	0	0													qbot		
@40	Chain Boots (Sacred)		2	1	0		0	0	0													qbot		
@41	Light Plated Boots (Sacred)		2	1	0		0	0	0													qbot		
@42	Greaves (Sacred)		2	1	0		0	0	0													qbot		
@43	Bone Shield (Sacred)		3	1	0		0	527	0													qbon	0	
@44	Spiked Shield (Sacred)		3	1	0		0	550	0													qbon	0	
@45	Mask (Sacred)		2	1	0		0	0	0													qbhe		
@46	Bone Helm (Sacred)		2	1	0		0	0	0													qbhe		
@47	Wolf Head (Sacred)		2	1	0		0	0	0													qplt		
@48	Hawk Helm (Sacred)		2	1	0		0	0	0													qplt		
@49	Antlers (Sacred)		2	1	0		0	0	0													qplt		
@50	Falcon Mask (Sacred)		2	1	0		0	0	0													qplt		
@51	Spirit Mask (Sacred)		2	1	0		0	0	0													qplt		
@52	Jawbone Cap (Sacred)		2	1	0		0	0	0													qphm		
@53	Fanged Helm (Sacred)		2	1	0		0	0	0													qphm		
@54	Horned Helm (Sacred)		2	1	0		0	0	0													qphm		
@55	Assault Helmet (Sacred)		2	1	0		0	0	0													qphm		
@56	Avenger Guard (Sacred)		2	1	0		0	0	0													qphm		
@57	Targe (Sacred)		2	1	0		0	437	1													qaur	0	
@58	Rondache (Sacred)		2	1	0		0	440	1													qaur	0	
@59	Heraldic Shield (Sacred)		4	1	0		0	0	1													qaur	0	
@60	Aerin Shield (Sacred)		4	1	0		0	0	1													qaur	0	
@61	Crown Shield (Sacred)		2	1	0		0	447	1													qaur	0	
@62	Preserved Head (Sacred)		2	1	0		0	436	1													qhed	0	
@63	Zombie Head (Sacred)		2	1	0		0	438	1													qhed	0	
@64	Unraveller Head (Sacred)		2	1	0		0	441	1													qhed	0	
@65	Gargoyle Head (Sacred)		2	1	0		0	443	1													qhed	0	
@66	Demon Head (Sacred)		2	1	0		0	445	1													qhed	0	
@67	Circlet (Sacred)		2	1	0		0	262	0													qcic		
@68	Coronet (Sacred)		2	1	0		0	327	0													qcic		
@69	Tiara (Sacred)		2	1	0		0	392	0													qcic		
@70	Diadem (Sacred)		2	1	0		0	524	0													qcic		
Ysh4	Mage's Plate		3	1	0		0	0	0													###3		
Ysh5	Divine Guard		3	1	0		0	500	0													###4	0	
Ysh6	Sorcerer's Mask		2	1	0		0	0	0													###5		
Ysh7	Mana Belt		1	1	0		0	0	0													###6,qblt		
Ysh8	Warkeepers		2	1	0		0	0	0													###7		
Ysh9	Winged Feet		2	1	0		0	0	0													###8		
crn	Crown		2	1	0		8345	0	0													helm		
e10	Targe (3)		2	1	0		0	41	1													ashd,tier	0	
e11	Rondache (3)		2	1	0		0	64	1													ashd,tier	0	
e12	Heraldic Shield (3)		4	1	0		0	0	1													ashd,tier	0	
e13	Aerin Shield (3)		4	1	0		0	0	1													ashd,tier	0	
e14	Crown Shield (3)		2	1	0		0	135	1													ashd,tier	0	
e15	Preserved Head (3)		2	1	0		0	34	1													head,tier	0	
e16	Zombie Head (3)		2	1	0		0	54	1													head,tier	0	
e17	Unraveller Head (3)		2	1	0		0	74	1													head,tier	0	
e18	Gargoyle Head (3)		2	1	0		0	94	1													head,tier	0	
e19	Demon Head (3)		2	1	0		0	113	1													head,tier	0	
e20	Wolf Head (4)		2	1	0		0	0	0													pelt,tier		
e21	Hawk Helm (4)		2	1	0		0	0	0													pelt,tier		
e22	Antlers (4)		2	1	0		0	0	0													pelt,tier		
e23	Falcon Mask (4)		2	1	0		0	0	0													pelt,tier		
e24	Spirit Mask (4)		2	1	0		0	0	0													pelt,tier		
e25	Jawbone Cap (4)		2	1	0		0	0	0													phlm,tier		
e26	Fanged Helm (4)		2	1	0		0	0	0													phlm,tier		
e27	Horned Helm (4)		2	1	0		0	0	0													phlm,tier		
e28	Assault Helmet (4)		2	1	0		0	0	0													phlm,tier		
e29	Avenger Guard (4)		2	1	0		0	0	0													phlm,tier		
e30	Targe (4)		2	1	0		0	85	1													ashd,tier	0	
e31	Rondache (4)		2	1	0		0	134	1													ashd,tier	0	
e32	Heraldic Shield (4)		4	1	0		0	0	1													ashd,tier	0	
e33	Aerin Shield (4)		4	1	0		0	0	1													ashd,tier	0	
e34	Crown Shield (4)		2	1	0		0	280	1													ashd,tier	0	
e35	Preserved Head (4)		2	1	0		0	72	1													head,tier	0	
e36	Zombie Head (4)		2	1	0		0	112	1													head,tier	0	
e37	Unraveller Head (4)		2	1	0		0	153	1													head,tier	0	
e38	Gargoyle Head (4)		2	1	0		0	195	1													head,tier	0	
e39	Demon Head (4)		2	1	0		0	236	1													head,tier	0	
fld	Field Plate		3	1	0		23841	0	0													tors		
hbt	Greaves		2	0	0		2954	0	0													boot		
hgl	Gauntlets		2	0	0		2964	0	0													glov		
k01	Circlet (1)		2	1	0		0	14	0													circ,tier		
k02	Coronet (1)		2	1	0		0	17	0													circ,tier		
k03	Tiara (1)		2	1	0		0	21	0													circ,tier		
k04	Diadem (1)		2	1	0		0	28	0													circ,tier		
k09	Circlet (2)		2	1	0		0	29	0													circ,tier		
k10	Coronet (2)		2	1	0		0	36	0													circ,tier		
k11	Tiara (2)		2	1	0		0	43	0													circ,tier		
k12	Diadem (2)		2	1	0		0	57	0													circ,tier		
k17	Circlet (3)		2	1	0		0	69	0													circ,tier		
k18	Coronet (3)		2	1	0		0	85	0													circ,tier		
k19	Tiara (3)		2	1	0		0	103	0													circ,tier		
k20	Diadem (3)		2	1	0		0	137	0													circ,tier		
k21	Circlet (4)		2	1	0		0	147	0													circ,tier		
k22	Coronet (4)		2	1	0		0	183	0													circ,tier		
k23	Tiara (4)		2	1	0		0	220	0													circ,tier		
k24	Diadem (4)		2	1	0		0	294	0													circ,tier		
tow	Tower Shield		3	1	0		4249	0	1													shie	0	
w10	Wolf Head (1)		2	1	0		0	0	0													pelt,tier		
w11	Hawk Helm (1)		2	1	0		0	0	0													pelt,tier		
w12	Antlers (1)		2	1	0		0	0	0													pelt,tier		
w13	Falcon Mask (1)		2	1	0		0	0	0													pelt,tier		
w14	Spirit Mask (1)		2	1	0		0	0	0													pelt,tier		
w15	Jawbone Cap (1)		2	1	0		0	0	0													phlm,tier		
